Step,Env_step,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
37,606208,4.07319843769074,2.91479825973511,6.37119114398956,8.1362184882164,3.74331548810005,10.5405405163765,8.34258951246738,5.527638271451,12.0481930673122,0,0,0,0.521326996386051,0,2.60663498193026,0.0448430515825748,0,0.224215257912874,0.0873265950940549,0,0.179533218033612,0,0,0,0,0,0,0,0,0,0.31496062874794,0,1.5748031437397
38,622592,3.37119162082672,0.635593198239803,6.34920671582222,8.59748274087906,5.06666675209999,11.5591399371624,8.98864135146141,6.82352930307388,10.9452739357948,0,0,0,0.602901775855571,0,2.88808662444353,0.0481927720829845,0,0.240963860414922,0.0354711920954287,0,0.0910746806766838,0,0,0,0,0,0,0,0,0,0.236220471560955,0,1.18110235780478
39,638976,3.24102684855461,1.01832989603281,5.15970513224602,8.2373933494091,6.64961636066437,11.1111111938953,9.46250066161156,8.95522385835648,10.462287068367,0,0,0,0.619858189020306,0,2.97397766262293,0,0,0,0.15967819141224,0,0.4512635525316,0,0,0,0,0,0,0,0,0,0.617760606110096,0,3.08880303055048
40,655360,4.32609975337982,0.597609579563141,8.35579484701157,7.14657038450241,3.70370373129845,9.4488188624382,9.2121946811676,5.98503723740578,11.6915419697762,0,0,0,0.692242148797959,0,3.33333350718021,0.0452488707378507,0,0.226244353689253,0.089166114339605,0,0.270758126862347,0,0,0,0,0,0,0,0,0,0.248962659388781,0,1.2448132969439
41,671744,3.9707478415221,0.583657575771213,7.82828256487846,7.11023658514023,4.98753115534782,9.42408367991447,8.40443640947342,6.00961521267891,10.0000001490116,0,0,0,0.933165177702904,0,4.66582588851452,0.0456620985642076,0,0.228310492821038,0.070056717377156,0,0.1774622942321,0,0,0,0,0,0,0,0,0,0.62745101749897,0,3.13725508749485
42,688128,3.19863010197878,0.602409616112709,5.00000007450581,8.31280276179314,4.15704399347305,10.0529097020626,7.77472577989101,5.41237108409405,10.5263158679008,0,0,0,0.66713297041133,0,3.20924259722233,0.0462962966412306,0,0.231481483206153,0.230469038942829,0,0.524934381246567,0,0,0,0,0,0,0,0,0,0.901639312505722,0,4.50819656252861
43,704512,2.95402393676341,0.396825419738889,7.5566753745079,6.52429509907961,2.12264154106379,8.37696343660355,8.37986096739769,5.5415615439415,11.083123087883,0,0,0,0.461773441638798,0,2.18228492885828,0.0938967149704695,0,0.469483574852347,0.233733472414315,0,0.641613220795989,0,0,0,0,0,0,0,0,0,0.560000017285347,0,2.80000008642673
44,720896,2.86331185139716,0.399201596155763,4.50928397476673,7.42495432496071,3.42298299074173,9.25925895571709,7.99721777439117,6.58227875828743,9.22693237662315,0,0,0,0.839474643580616,0,3.81077527999878,0.0943102780729532,0,0.242718448862433,0.0528479635249823,0,0.0900900922715664,0,0,0,0,0,0,0,0,0,0.485829971730709,0,2.42914985865355
45,737280,2.42368863895535,0.811359006911516,4.21836227178574,7.43699237704277,3.54609936475754,10.0250624120235,8.90907436609268,6.73316717147827,10.677083581686,0,0,0,1.00100222975016,0,4.61741425096989,0,0,0,0.126136277103797,0,0.278035225346684,0,0,0,0,0,0,0,0,0,0.557768940925598,0,2.78884470462799
46,753664,3.32214100286365,1.01010100916028,4.70297038555145,7.06968866288662,2.10772827267647,10.4878045618534,9.35694336891174,8.45410600304604,10.4060910642147,0,0,0,0.839982624165714,0,3.94218116998672,0.0469483574852347,0,0.234741787426174,0.145309010986239,0,0.274977087974548,0,0,0,0,0,0,0,0,0,0.799999982118607,0,3.99999991059303
47,770048,2.04324029386044,1.04602510109544,3.58851663768291,6.66467346251011,3.36538478732109,8.78552943468094,9.78986367583275,7.99999982118607,10.9181143343449,0,0,0,1.07438626000658,0,4.58115190267563,0.195515952073038,0,0.738916266709566,0.127684792969376,0,0.282220123335719,0,0,0,0,0,0,0,0,0,0.86898535490036,0,3.21285128593445
48,786432,1.62968290038407,0.742115033790469,2.07468885928392,7.25109525024891,3.87409217655659,8.66336598992348,9.58207234740257,8.37320610880852,11.1111111938953,0,0,0,1.29453618312255,0,5.67010305821896,0.454082903452218,0,2.02531646937132,0.198070022743195,0,0.555555569007993,0,0,0,0,0,0,0,0,0,0.780710354447365,0,3.50194536149502
49,802816,1.45863577723503,1.01010100916028,2.22222227603197,6.92262940108776,3.66748161613941,8.54271352291107,8.59434619545937,6.66666701436043,9.78520289063454,0,0,0,1.11861712299287,0,5.05181364715099,0.623062681406736,0,2.61780098080635,0.144341179402545,0,0.263852253556252,0,0,0,0,0,0,0,0,0,1.04691343847662,0,4.56431545317173
50,819200,2.12871268391609,1.52091253548861,2.54237279295921,8.08258756995201,5.39845749735832,10.7969149947166,10.4953041672707,7.69230797886848,14.4638404250145,0,0,0,0.891840029507875,0,4.04858291149139,1.19392962194979,0,5.47945201396942,0.108062548097223,0,0.279589928686619,0,0,0,0,0,0,0,0,0,0.877540297806263,0,2.9166666790843
51,835584,2.15656070038676,1.36054418981075,3.53200882673264,6.68716333806515,5.12195117771626,7.43589773774147,9.44838494062424,9.09090936183929,9.77995097637177,0,0,0,1.49867712985724,0,6.26666694879532,0.800688760355115,0,3.26086953282356,0.143874613568187,0,0.353045016527176,0,0,0,0,0,0,0,0,0,1.14393942058086,0,4.58333343267441
52,851968,2.12208619341254,1.29870129749179,2.90827732533216,7.86347284913063,4.51306402683258,10.0271001458168,9.82379272580147,7.80856460332871,12.8712877631187,0,0,0,1.60965532530099,0,6.69398903846741,1.71226218342781,0,6.78466111421585,0.240817726589739,0.0908265239559114,0.482160085812211,0,0,0,0,0,0,0,0,0,1.99083321727812,0,8.43881890177727
53,868352,2.13399084284902,1.34831462055445,3.21931578218937,7.20562823116779,3.46420332789421,9.5238097012043,10.6901770830154,9.48905125260353,11.979166418314,0,0,0,1.38196398504078,0,5.26315793395042,2.74579995311797,0,13.4796231985092,0.181793218944222,0,0.467726867645979,0,0,0,0,0,0,0,0,0,1.56356755644083,0,5.71428574621677
54,884736,1.84410896152258,0.972762610763311,3.54767180979252,6.72691479325295,5.2884615957737,9.375,11.1548390984535,10.7231922447681,11.8811883032322,0,0,0,1.63502892013639,0,6.8000003695488,4.03753638733178,0,19.9312716722488,0.316548650152981,0.21097045391798,0.479846447706223,0,0,0,0,0,0,0,0,0,1.73125621397048,0,6.86695277690887
55,901120,1.56504053622484,0.421052612364292,2.32558138668537,7.24341675639153,5.82750588655472,9.48509499430656,9.82694730162621,8.11455845832825,11.7206983268261,0,0,0,1.65363929234445,0,6.4558632671833,4.90087968762964,0,22.7272734045982,0.293813941534609,0,0.764818349853158,0,0,0,0,0,0,0,0,0,1.74893887713552,1.14942528307438,2.99145299941301
56,917504,2.29367673397064,1.27659570425749,3.23275849223137,7.12639831006527,5.04807680845261,9.35064926743507,8.96054401993752,6.81818202137947,11.0565111041069,0,0,0,1.66676222346723,0,7.07732662558556,6.24138469807804,0,30.7210028171539,0.204052510671318,0.0895255128853023,0.473484862595797,0,0,0,0,0,0,0,0,0,2.44679751805961,0.714285718277097,7.52212405204773
57,933888,2.13729465380311,0.803212821483612,4.08602133393288,6.55264332890511,4.30622026324272,8.52713212370873,9.68269065022469,7.7519379556179,12.4010555446148,0,0,0,1.9241261924617,0.122699385974556,7.5549453496933,5.34503316972405,0.241545890457928,25.4545450210571,0.303231193684041,0.0881834188476205,0.673076929524541,0,0,0,0,0,0,0,0,0,3.33211390301585,0.754716992378235,10.4072399437428
58,950272,2.06118466332555,1.07296137139201,2.72536687552929,6.64831526577473,3.69458124041557,10.103627294302,9.53116714954376,8.2262210547924,12.5641033053398,0,0,0,1.91156524699181,0,7.69230797886848,7.77085578534752,0.241545890457928,36.9905948638916,0.259042793186381,0.0929368019569665,0.478927185758948,0,0,0,0,0,0,0,0,0,3.41641925275326,1.16731515154243,9.91379320621491
59,966656,2.42803256958723,0.408997945487499,4.72279265522957,6.38665996491909,3.58851663768291,8.67346972227097,9.60446521639824,7.03125,12.09876537323,0,0,0,2.01502601383254,0,7.75623247027397,6.35672405362129,0,29.8742145299911,0.204615691909567,0.0873362470883876,0.378071842715144,0,0,0,0,0,0,0,0,0,3.06304210796952,0,5.70175424218178
60,983040,1.82362116873264,0.842105224728584,2.23577227443457,5.78253991901875,3.77358496189117,8.50000008940697,9.33551713824272,8.39328542351723,11.0294118523598,0,0,0,2.17659567482769,0,7.6510064303875,7.63589260634035,0.248756213113666,35.2750808000565,0.320078840013593,0.0930232577957213,0.575815746560693,0,0,0,0,0,0,0,0,0,4.51397702097893,1.14942528307438,9.82142835855484
61,999424,1.97910053655505,1.08695654198527,2.60303691029549,6.88486985862255,5.27577921748161,8.83116871118546,8.93066093325615,7.74818435311317,9.95024889707565,0,0,0,2.45710953837261,0.124532997142524,8.77914950251579,8.32389086019248,0,39.4136816263199,0.374234444461763,0,0.711743766441941,0.0724637694656849,0,0.362318847328424,0,0,0,0,0,0,5.39741557091475,2.03252024948597,13.6363640427589
62,1015808,2.48219527304173,1.75054706633091,3.81355918943882,5.80623149871826,3.15533988177776,9.92555841803551,10.3541675209999,8.10810774564743,11.8987344205379,0,0,0,3.34493256639689,0.386597937904298,10.4979813098907,8.11579211615026,0,39.4736856222153,0.312257572077215,0,0.484496122226119,0.152671756222844,0,0.763358781114221,0,0,0,0,0,0,4.09604838117957,0.740740727633238,10.6481485068798
63,1032192,3.08374432846904,0.965250935405493,5.90717308223248,6.89489267766476,3.86473424732685,9.45273637771606,9.6680711209774,6.71641826629639,11.9512192904949,0,0,0,3.56518210843205,0.638569612056017,10.9164416790009,8.06312008295208,0,38.9610379934311,0.456980629824102,0,0.980392191559076,0,0,0,0,0,0,0,0,0,6.09688339754939,0.862068962305784,14.8471608757973
64,1048576,2.17371022328734,1.3513513840735,2.99145299941301,5.50450123846531,3.3573143184185,8.62068980932236,11.6779908537865,10.1265825331211,12.9675805568695,0,0,0,3.35674230009317,1.16129033267498,8.82352963089943,7.09723482374102,0,34.2019557952881,0.389086212962866,0.112107628956437,0.615114253014326,0.0709219835698605,0,0.354609917849302,0,0,0,0,0,0,5.9706761315465,2.1367521956563,13.8888895511627
65,1064960,2.47000457718968,1.11856823787093,3.38266380131245,5.1175669580698,3.62811796367168,6.73575103282928,9.24141779541969,7.16112554073334,12.4365478754044,0,0,0,3.77119578421116,1.11111113801599,10.0954979658127,7.85178451333195,0.254452927038074,36.8932038545609,0.288223499665037,0,0.530035328119993,0.0746268639340997,0,0.373134319670498,0,0,0,0,0,0,6.6905721090734,0.862068962305784,14.5454540848732
66,1081344,2.20589114353061,1.25523013994098,2.81690135598183,5.08758753538132,2.39234454929829,7.50000029802322,11.1844700574875,8.25000032782555,12.8608927130699,0,0,0,4.99251962639391,0.529801333323121,10.6969207525253,9.40996127203107,0,45.1827228069305,0.427762956824154,0.175901490729302,0.782013684511185,0.156862754374743,0,0.784313771873713,0,0,0,0,0,0,6.55217980965972,0.836820062249899,14.2857149243355
67,1097728,2.24992372095585,1.27659570425749,2.67175566405058,5.10673258453608,2.54041571170092,7.63358771800995,9.27990473806858,5.38461543619633,12.1140144765377,0,0,0,5.08251579478383,1.319261174649,10.9607577323914,8.83026415947825,0,42.8571432828903,0.521775688976049,0.11123470030725,0.888099428266287,0,0,0,0,0,0,0,0,0,5.43493591248989,0.851063802838326,10.2222219109535
68,1114112,2.9997319355607,2.0242914557457,5.02183400094509,4.50430985540152,2.01342273503542,5.7644110172987,10.3545404970646,9.15841609239578,11.1662529408932,0,0,0,6.91427905112505,1.59574467688799,13.9693349599838,9.06941315159202,0,42.3076927661896,0.517695252783597,0.382409174926579,0.783545523881912,0,0,0,0,0,0,0,0,0,8.43338187783957,2.16450225561857,15.2466371655464
69,1130496,2.35692365095019,1.54867256060243,2.85087712109089,5.00048600137234,3.31858396530151,6.59898445010185,9.69513207674027,8.46153870224953,10.9489053487778,0,0,0,8.06839648634195,2.0107239484787,19.569119811058,9.11210155580193,0,41.2969291210175,0.50304054049775,0.107181130442768,0.800000037997961,0.207612458616495,0,1.03806229308248,0,0,0,0,0,0,8.09799049049616,1.96078438311815,12.6696839928627
70,1146880,2.23226169124246,1.4492753893137,3.29896919429302,3.90075460076332,2.40174680948257,6.1224490404129,10.7874761521816,8.2294262945652,16.5048539638519,0.0389408087357879,0,0.155763234943151,9.84775971621275,2.15633418411016,25.3521114587784,11.4076282922179,0,52.6315808296204,0.5804100073874,0.287356320768595,1.38476751744747,0,0,0,0,0,0,0,0,0,7.62153955176473,0.854700896888971,11.5555554628372
71,1163264,2.00614962726831,1.0917030274868,2.52100843936205,4.58111435174942,3.40909101068974,6.20155036449432,11.2060056626797,8.12064930796623,13.5204076766968,0,0,0,9.89199496805668,2.42914985865355,29.0721654891968,11.6577493026853,0,50.6622493267059,0.649204812943935,0.322234164923429,1.1964107863605,0.077519379556179,0,0.387596897780895,0,0,0,0,0,0,9.48798019438982,2.1367521956563,16.0550460219383
