Env_step,MAP_NAME: smacv2_20_units - _step,MAP_NAME: smacv2_20_units - _step__MIN,MAP_NAME: smacv2_20_units - _step__MAX,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - _step,MAP_NAME: smacv2_10_units - _step__MIN,MAP_NAME: smacv2_10_units - _step__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - _step,MAP_NAME: smacv2_5_units - _step__MIN,MAP_NAME: smacv2_5_units - _step__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - _step,MAP_NAME: 27m_vs_30m - _step__MIN,MAP_NAME: 27m_vs_30m - _step__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - _step,MAP_NAME: 10m_vs_11m - _step__MIN,MAP_NAME: 10m_vs_11m - _step__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - _step,MAP_NAME: 6h_vs_8z - _step__MIN,MAP_NAME: 6h_vs_8z - _step__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - _step,MAP_NAME: 5m_vs_6m - _step__MIN,MAP_NAME: 5m_vs_6m - _step__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - _step,MAP_NAME: 3s5z - _step__MIN,MAP_NAME: 3s5z - _step__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - _step,MAP_NAME: 3s5z_vs_3s6z - _step__MIN,MAP_NAME: 3s5z_vs_3s6z - _step__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - _step,MAP_NAME: 3s_vs_5z - _step__MIN,MAP_NAME: 3s_vs_5z - _step__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - _step,MAP_NAME: 2s3z - _step__MIN,MAP_NAME: 2s3z - _step__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
327680,20,20,20,0.00354894851334393,0,0.0102301789447665,20,20,20,0.00646666213870048,0.00246913591399789,0.0123762376606464,20,20,20,0.00822463119402528,0.00231481483206153,0.0125944586470723,20,20,20,0,0,0,20,20,20,0,0,0,20,20,20,0,0,0,20,20,20,0,0,0,20,20,20,0,0,0,20,20,20,0,0,0,20,20,20,0,0,0,20,20,20,0,0,0
344064,21,21,21,0.00297859609127045,0,0.00980392191559076,21,21,21,0.00694179185666144,0.00243902439251542,0.0122850118204951,21,21,21,0.0103550003841519,0.0050505050458014,0.0149999996647239,21,21,21,0,0,0,21,21,21,0,0,0,21,21,21,0,0,0,21,21,21,0,0,0,21,21,21,0,0,0,21,21,21,0,0,0,21,21,21,0,0,0,21,21,21,0,0,0
360448,22,22,22,0.00102770449593663,0,0.00263852253556252,22,22,22,0.00544811487197876,0.00249376567080617,0.00999999977648258,22,22,22,0.0110056160017848,0.00487804878503084,0.0147058824077249,22,22,22,0,0,0,22,22,22,0,0,0,22,22,22,0,0,0,22,22,22,0,0,0,22,22,22,0,0,0,22,22,22,0,0,0,22,22,22,0,0,0,22,22,22,0,0,0
376832,23,23,23,0.00391645333729684,0,0.0120192309841514,23,23,23,0.0040143592748791,0,0.0124378111213446,23,23,23,0.0104708426631987,0.00484261522069573,0.0148514853790402,23,23,23,0,0,0,23,23,23,0,0,0,23,23,23,0,0,0,23,23,23,0,0,0,23,23,23,0,0,0,23,23,23,0,0,0,23,23,23,0,0,0,23,23,23,0,0,0
393216,24,24,24,0.00253993617370725,0,0.00512820528820157,24,24,24,0.00448502488434315,0.0023809524718672,0.0125313280150294,24,24,24,0.00994659559801221,0.00729927001520991,0.015075377188623,24,24,24,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0,24,24,24,0,0,0
409600,25,25,25,0.00300821703858674,0,0.00763358781114221,25,25,25,0.00406765737570822,0.00255754473619163,0.00508905854076147,25,25,25,0.0114296414889395,0.00729927001520991,0.0170316305011511,25,25,25,0,0,0,25,25,25,0,0,0,25,25,25,0,0,0,25,25,25,0,0,0,25,25,25,0,0,0,25,25,25,0,0,0,25,25,25,0,0,0,25,25,25,0,0,0
425984,26,26,26,0.00203441041521728,0,0.00511508947238326,26,26,26,0.0050485891290009,0.00497512426227331,0.00511508947238326,26,26,26,0.0105373423546553,0.00733496341854334,0.0153452688828111,26,26,26,0,0,0,26,26,26,0,0,0,26,26,26,0,0,0,26,26,26,0,0,0,26,26,26,0,0,0,26,26,26,0,0,0,26,26,26,0,0,0,26,26,26,0,0,0
442368,27,27,27,0.00449909479357302,0,0.00753768859431148,27,27,27,0.0111548987217247,0.00511508947238326,0.015424164943397,27,27,27,0.0113134948071092,0.00259740254841745,0.0261780098080635,27,27,27,0,0,0,27,27,27,0,0,0,27,27,27,0,0,0,27,27,27,0,0,0,27,27,27,0,0,0,27,27,27,0,0,0,27,27,27,0,0,0,27,27,27,0,0,0
458752,28,28,28,0.00459469137713313,0.00253164558671415,0.00742574268952012,28,28,28,0.00949305910617113,0.00724637694656849,0.0128865977749228,28,28,28,0.0146649217233062,0.0100755663588643,0.0202020201832056,28,28,28,0,0,0,28,28,28,0,0,0,28,28,28,0,0,0,28,28,28,0,0,0,28,28,28,0,0,0,28,28,28,0,0,0,28,28,28,0,0,0,28,28,28,0,0,0
475136,29,29,29,0.00357841402292252,0,0.00769230769947171,29,29,29,0.0109588704071939,0.00531914876773953,0.0186666660010815,29,29,29,0.0141338461078703,0.00746268639340997,0.0209424085915089,29,29,29,0,0,0,29,29,29,0,0,0,29,29,29,0,0,0,29,29,29,0,0,0,29,29,29,0,0,0,29,29,29,0,0,0,29,29,29,0,0,0,29,29,29,0,0,0
491520,30,30,30,0.00359336175024509,0,0.00769230769947171,30,30,30,0.00931024993769825,0.00251889158971608,0.0153452688828111,30,30,30,0.0181705225259066,0.0100502511486411,0.0264550261199474,30,30,30,0,0,0,30,30,30,0,0,0,30,30,30,0,0,0,30,30,30,0,0,0,30,30,30,0,0,0,30,30,30,0,0,0,30,30,30,0,0,0,30,30,30,0,0,0
507904,31,31,31,0.00203057453036308,0,0.00503778317943215,31,31,31,0.00868569016456604,0.00735294120386243,0.0130548300221562,31,31,31,0.0276770446449518,0.0202020201832056,0.0340314134955406,31,31,31,0,0,0,31,31,31,0,0,0,31,31,31,0.000469483574852347,0,0.00234741787426174,31,31,31,0,0,0,31,31,31,0,0,0,31,31,31,0,0,0,31,31,31,0,0,0,31,31,31,0,0,0
524288,32,32,32,0.00307356473058462,0.00253164558671415,0.00522193219512701,32,32,32,0.0102743565104902,0.00531914876773953,0.0206185560673475,32,32,32,0.0196896929293871,0.013513513840735,0.0287206266075373,32,32,32,0,0,0,32,32,32,0,0,0,32,32,32,0.000437636766582727,0,0.00218818383291364,32,32,32,0,0,0,32,32,32,0,0,0,32,32,32,0,0,0,32,32,32,0,0,0,32,32,32,0,0,0
540672,33,33,33,0.00361686050891876,0,0.0077519379556179,33,33,33,0.0127489911392331,0.00253807101398706,0.0238726790994406,33,33,33,0.019521576538682,0.0130890049040318,0.0325203239917755,33,33,33,0,0,0,33,33,33,0,0,0,33,33,33,0,0,0,33,33,33,0,0,0,33,33,33,0,0,0,33,33,33,0,0,0,33,33,33,0,0,0,33,33,33,0,0,0
557056,34,34,34,0.00309420479461551,0,0.0051948050968349,34,34,34,0.00924924062564969,0.00511508947238326,0.0130208330228925,34,34,34,0.0184686424210668,0.0130548300221562,0.0253164563328028,34,34,34,0,0,0,34,34,34,0,0,0,34,34,34,0.00090939155779779,0,0.00231481483206153,34,34,34,0,0,0,34,34,34,0,0,0,34,34,34,0,0,0,34,34,34,0,0,0,34,34,34,0,0,0
573440,35,35,35,0.00202812436036766,0,0.00488997576758266,35,35,35,0.0107995704747736,0.00767263444140554,0.0132978726178408,35,35,35,0.0226177953183651,0.0180412363260984,0.0288713909685612,35,35,35,0,0,0,35,35,35,0,0,0,35,35,35,0,0,0,35,35,35,0,0,0,35,35,35,0,0,0,35,35,35,0,0,0,35,35,35,0,0,0,35,35,35,0,0,0
589824,36,36,36,0.00251384750008583,0,0.00503778317943215,36,36,36,0.0124462096951902,0.0050632911734283,0.0238095242530107,36,36,36,0.0278672330081463,0.020833333954215,0.035532996058464,36,36,36,0,0,0,36,36,36,0,0,0,36,36,36,0,0,0,36,36,36,0.000177935941610485,0,0.000889679708052427,36,36,36,0,0,0,36,36,36,0,0,0,36,36,36,0,0,0,36,36,36,0,0,0
606208,37,37,37,0.00464597926475108,0.00255754473619163,0.0103626940399408,37,37,37,0.0113681807182729,0.00515463901683688,0.015748031437397,37,37,37,0.0326540037989616,0.0187667552381754,0.045569621026516,37,37,37,0,0,0,37,37,37,0,0,0,37,37,37,0,0,0,37,37,37,0,0,0,37,37,37,0,0,0,37,37,37,0,0,0,37,37,37,0,0,0,37,37,37,0,0,0
622592,38,38,38,0.00459093893878162,0,0.0077519379556179,38,38,38,0.0126151176169515,0.0077519379556179,0.0236842110753059,38,38,38,0.0302431292831898,0.0160427801311016,0.0415512472391129,38,38,38,0,0,0,38,38,38,0,0,0,38,38,38,0.000990098994225263,0,0.00495049497112632,38,38,38,0.000173761951737106,0,0.000868809758685529,38,38,38,0,0,0,38,38,38,0,0,0,38,38,38,0,0,0,38,38,38,0,0,0
638976,39,39,39,0.00314144734293222,0,0.00789473671466112,39,39,39,0.0135890983976424,0.00771208247169852,0.0204081628471613,39,39,39,0.0292450372129679,0.015748031437397,0.0406504049897194,39,39,39,0,0,0,39,39,39,0,0,0,39,39,39,0.00291495360434055,0,0.00751879718154669,39,39,39,0,0,0,39,39,39,0,0,0,39,39,39,0,0,0,39,39,39,0,0,0,39,39,39,0,0,0
655360,40,40,40,0.00199506208300591,0,0.0049627791158855,40,40,40,0.0177124798297882,0.0128865977749228,0.02638522349298,40,40,40,0.0387066211551428,0.0281329918652773,0.055702917277813,40,40,40,0,0,0,40,40,40,0,0,0,40,40,40,0.00374019634909928,0,0.0117096016183496,40,40,40,0,0,0,40,40,40,0,0,0,40,40,40,0,0,0,40,40,40,0,0,0,40,40,40,0,0,0
671744,41,41,41,0.00774446032010019,0.00251889158971608,0.0130208330228925,41,41,41,0.010965446382761,0.00518134701997042,0.020833333954215,41,41,41,0.0354983832687139,0.0183246079832315,0.0501319244503975,41,41,41,0,0,0,41,41,41,0.000434749317355454,0,0.00114810559898615,41,41,41,0.00196435642428696,0,0.00522193219512701,41,41,41,0,0,0,41,41,41,0,0,0,41,41,41,0,0,0,41,41,41,0,0,0,41,41,41,0,0,0
688128,42,42,42,0.00509849125519395,0,0.012562814168632,42,42,42,0.0146808044053614,0.00515463901683688,0.0268817208707333,42,42,42,0.0357783481478691,0.0285714287310839,0.0486486479640007,42,42,42,0,0,0,42,42,42,0.000431583169847727,0,0.00113122176844627,42,42,42,0.00356116592884064,0,0.0104166669771075,42,42,42,0,0,0,42,42,42,0,0,0,42,42,42,0,0,0,42,42,42,0,0,0,42,42,42,0,0,0
704512,43,43,43,0.00502505577169359,0.00255754473619163,0.00742574268952012,43,43,43,0.0115521284751594,0.00777202052995563,0.0184696577489376,43,43,43,0.0347121570259333,0.0165745858103037,0.0448548831045628,43,43,43,0,0,0,43,43,43,0,0,0,43,43,43,0.00817472711205483,0,0.0160183068364859,43,43,43,0,0,0,43,43,43,0,0,0,43,43,43,0,0,0,43,43,43,0,0,0,43,43,43,0,0,0
720896,44,44,44,0.00363682773895562,0,0.00789473671466112,44,44,44,0.0127209798432887,0.00531914876773953,0.0268096514046192,44,44,44,0.0409127742052078,0.0230179019272327,0.052356019616127,44,44,44,0,0,0,44,44,44,0.00106382220983505,0,0.00310559011995792,44,44,44,0.00194539465010166,0,0.00469483574852347,44,44,44,0.000191938574425876,0,0.000959692872129381,44,44,44,0,0,0,44,44,44,0,0,0,44,44,44,0,0,0,44,44,44,0,0,0
737280,45,45,45,0.00411251462064683,0.00245098047889769,0.00765306130051613,45,45,45,0.00874102953821421,0.00516795879229903,0.0154639175161719,45,45,45,0.0441433146595955,0.0338541679084301,0.0570652186870575,45,45,45,0,0,0,45,45,45,0.000855099642649293,0,0.00205761310644448,45,45,45,0.0113444050773978,0,0.0213270150125027,45,45,45,0.000340313301421702,0,0.000859106541611254,45,45,45,0,0,0,45,45,45,0,0,0,45,45,45,0,0,0,45,45,45,0,0,0
753664,46,46,46,0.00358320381492376,0,0.00744416890665889,46,46,46,0.00733308759517968,0,0.0183246079832315,46,46,46,0.0427669923752546,0.0300546456128359,0.0639386177062988,46,46,46,0,0,0,46,46,46,0.000650501064956188,0,0.00209643598645926,46,46,46,0.0130865055136383,0,0.0216867476701736,46,46,46,0.000343057210557163,0,0.000860585190821439,46,46,46,0,0,0,46,46,46,0,0,0,46,46,46,0,0,0,46,46,46,0.000724637694656849,0,0.00362318847328424
770048,47,47,47,0.00457712239585817,0,0.0102301789447665,47,47,47,0.0158117080107331,0.0106951873749495,0.0213903747498989,47,47,47,0.0390832174569368,0.0212765950709581,0.0597826093435288,47,47,47,0,0,0,47,47,47,0.00107028817292303,0,0.00313152396120131,47,47,47,0.0188077175524086,0.00243902439251542,0.0401891246438026,47,47,47,0.000367283925879747,0,0.000936329597607255,47,47,47,0,0,0,47,47,47,0,0,0,47,47,47,0,0,0,47,47,47,0.000711743766441941,0,0.00355871883220971
