Step,Env_step,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
42,86016,0.757363252341747,0,2.17391308397055,4.86199244856834,4.08163256943226,7.54716992378235,8.84030200541019,5.76923079788685,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,88064,1.04160245507956,0,3.38983051478863,4.38913140445948,2.12765950709581,7.69230797886848,7.67966933548451,1.88679248094559,15.6862750649452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,90112,1.6444444283843,0,5.99999986588955,4.0591236948967,2.04081628471613,6.1224490404129,5.68147018551827,3.38983051478863,10.0000001490116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,92160,0.36363635212183,0,1.81818176060915,7.12503507733345,5.55555559694767,9.61538478732109,7.10857391357422,1.63934417068958,14.2857149243355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,94208,0.755793228745461,0,1.96078438311815,5.75936254113913,1.92307699471712,9.09090936183929,7.31562599539757,5.55555559694767,9.61538478732109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,96256,1.87535617500544,0,3.70370373129845,5.22632744163275,1.75438597798347,12.2448980808258,7.6525292545557,0,13.4615391492844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,98304,0,0,0,5.56111104786396,1.99999995529652,7.99999982118607,7.60173931717873,4.25531901419163,10.6382980942726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,100352,1.1659225448966,0,2.17391308397055,5.93317802995443,1.92307699471712,8.33333358168602,5.74327915906906,3.33333350718021,9.80392172932625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,102400,1.78150448948145,0,3.57142873108387,5.18824178725481,0,9.43396240472794,11.7986525595188,7.50000029802322,14.2857149243355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,104448,1.94444447755814,0,5.55555559694767,5.48057530075312,1.92307699471712,7.84313753247261,7.42834214121103,1.81818176060915,12.2448980808258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
