Env_step,MAP_NAME: smacv2_20_units - eval_m/.win_rate,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_10_units - eval_m/.win_rate,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_5_units - eval_m/.win_rate,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX,MAP_NAME: 27m_vs_30m - eval_m/.win_rate,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX,MAP_NAME: 10m_vs_11m - eval_m/.win_rate,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX,MAP_NAME: 6h_vs_8z - eval_m/.win_rate,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX,MAP_NAME: 5m_vs_6m - eval_m/.win_rate,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX,MAP_NAME: 3s5z - eval_m/.win_rate,MAP_NAME: 3s5z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z - eval_m/.win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX,MAP_NAME: 3s_vs_5z - eval_m/.win_rate,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX,MAP_NAME: 2s3z - eval_m/.win_rate,MAP_NAME: 2s3z - eval_m/.win_rate__MIN,MAP_NAME: 2s3z - eval_m/.win_rate__MAX
1769472,3.125,0,6.25,7.5,3.125,12.5,22.5,15.625,34.375,27.34375,12.5,46.875,15.625,6.25,28.125,12.5,3.125,46.875,1.25,0,3.125,3.75,0,9.375,0,0,0,0,0,0,37.5,28.125,46.875
1818624,1.875,0,3.125,5.625,3.125,12.5,24.375,12.5,40.625,30.46875,12.5,46.875,15.625,6.25,25,5.625,0,18.75,0,0,0,3.125,0,6.25,0,0,0,0,0,0,45,34.375,53.125
1867776,0.625,0,3.125,5.625,3.125,9.375,25.625,21.875,31.25,28.125,18.75,37.5,15,6.25,31.25,11.25,3.125,34.375,0,0,0,3.75,0,9.375,0,0,0,0,0,0,40.625,21.875,59.375
1916928,4.375,0,9.375,3.75,0,9.375,25.625,12.5,34.375,36.71875,18.75,50,14.375,3.125,28.125,15.625,6.25,43.75,0.625,0,3.125,7.5,0,12.5,0,0,0,0,0,0,54.375,46.875,62.5
1966080,3.75,0,9.375,6.875,6.25,9.375,33.125,31.25,40.625,36.71875,25,50,18.75,9.375,28.125,22.5,3.125,56.25,0,0,0,7.5,0,12.5,0,0,0,0,0,0,52.5,28.125,65.625
2015232,1.875,0,6.25,6.25,3.125,18.75,27.5,15.625,43.75,44.53125,31.25,56.25,18.75,6.25,46.875,21.25,0,56.25,0,0,0,11.875,0,21.875,0,0,0,0,0,0,53.75,46.875,62.5
2064384,0,0,0,5,3.125,9.375,27.5,18.75,37.5,45.3125,31.25,65.625,19.375,0,40.625,24.375,6.25,53.125,0,0,0,6.25,0,12.5,0,0,0,0,0,0,58.125,46.875,75
2113536,1.25,0,3.125,6.25,0,12.5,34.375,31.25,37.5,50,40.625,65.625,14.375,0,31.25,25,6.25,59.375,1.875,0,6.25,6.25,0,15.625,0,0,0,0,0,0,61.875,53.125,65.625
2162688,3.125,0,6.25,11.25,9.375,12.5,33.125,31.25,37.5,46.875,34.375,65.625,13.75,3.125,25,21.25,3.125,50,2.5,0,9.375,11.25,3.125,18.75,0,0,0,0,0,0,61.875,56.25,68.75
2211840,1.25,0,3.125,7.5,0,12.5,28.125,18.75,43.75,46.875,21.875,84.375,16.25,6.25,28.125,29.375,3.125,65.625,1.25,0,3.125,12.5,6.25,21.875,0,0,0,0,0,0,64.375,53.125,78.125
2260992,0.625,0,3.125,10.625,6.25,18.75,36.875,28.125,46.875,50,28.125,81.25,20,6.25,34.375,29.375,6.25,65.625,0,0,0,15.625,6.25,31.25,0,0,0,0,0,0,65.625,59.375,75
2310144,3.125,0,6.25,10.625,3.125,18.75,41.25,25,50,47.65625,18.75,71.875,13.75,3.125,21.875,29.375,0,68.75,1.875,0,3.125,15,0,43.75,0,0,0,0,0,0,61.25,53.125,75
2359296,3.125,0,6.25,8.75,3.125,12.5,39.375,25,59.375,47.65625,25,68.75,19.375,6.25,37.5,31.25,3.125,81.25,0.625,0,3.125,13.125,0,46.875,0,0,0,0,0,0,68.75,62.5,78.125
2408448,0.625,0,3.125,8.75,3.125,18.75,41.25,34.375,59.375,62.5,43.75,90.625,23.75,15.625,37.5,45,15.625,90.625,0,0,0,16.25,3.125,46.875,0,0,0,0,0,0,65,56.25,81.25
